0, 0.0
1,330.0
2,693.0
3,1092.3000000000002
4,1531.5300000000004
5,2014.6830000000007
6,2546.1513000000014
7,3130.766430000002
8,3773.8430730000023
9,4481.227380300003
10,5259.350118330003
11,6115.285130163004
12,7056.8136431793055
13,8092.495007497237
14,9231.74450824696
15,10484.918959071658
16,11863.410854978825
17,13379.751940476708
18,15047.72713452438
19,16882.499847976822
20,18900.749832774505
21,21120.824816051958
22,23562.907297657155
23,26249.198027422874
24,29204.117830165163
25,32454.529613181683
26,36029.98257449985
27,39962.98083194984
28,44289.27891514483
29,49048.20680665932
30,54283.02748732526
0, 0.0
1,3300.0000000000005
2,6930.000000000001
3,10923.0
4,15315.300000000001
5,20146.830000000005
6,25461.513000000006
7,31307.664300000008
8,37738.43073000001
9,44812.27380300001
10,52593.50118330002
11,61152.85130163002
12,70568.13643179303
13,80924.95007497234
14,92317.44508246958
15,104849.18959071655
16,118634.10854978822
17,133797.51940476705
18,150477.27134524376
19,168824.99847976814
20,189007.49832774498
21,211208.2481605195
22,235629.07297657145
23,262491.9802742286
24,292041.1783016515
25,324545.2961318167
26,360299.8257449984
27,399629.80831949826
28,442892.7891514481
29,490482.06806659297
30,542830.2748732523
